ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
339;;;;;;;;;Sem filtro;;;
340;;;;;;;;;Sem filtro;;;
341;;;;;;;;;Sem filtro;;;
342;;;;;;;;;Sem filtro;;;
343;;;;;;;;;Sem filtro;;;
344;;;;;;;;;Sem filtro;;;
345;;;;;;;;;Sem filtro;;;
346;;;;;;;;;Sem filtro;;;
347;;;;;;;;;Sem filtro;;;
348;;;;;;;;;Sem filtro;;;
349;;;;;;;;;Sem filtro;;;
350;;;;;;;;;Sem filtro;;;
351;;;;;;;;;Sem filtro;;;
352;Poço Tubular;60.00;0.6;7.00;;;;;Sem filtro;6;Plástico PVC;
353;;;;;;;;;Sem filtro;;;
354;;;;;;;;;Sem filtro;;;
355;;;;;;;;;Sem filtro;;;
356;;;;;;;;;Sem filtro;;;
357;;;;;;;;;Sem filtro;;;
358;;;;;;;;;Sem filtro;;;
359;;;;;;;;;Sem filtro;;;
360;;;;;;;;;Sem filtro;;;
361;;;;;;;;;Sem filtro;;;
362;;;;;;;;;Sem filtro;;;
363;;;;;;;;;Sem filtro;;;
364;;;;;;;;;Sem filtro;;;
365;;;;;;;;;Sem filtro;;;
366;;;;;;;;;Sem filtro;;;
367;;;;;;;;;Sem filtro;;;
368;;;;;;;;;Sem filtro;;;
369;;;;;;;;;Sem filtro;;;
370;;;;;;;;;Sem filtro;;;
371;;;;;;;;;Sem filtro;;;
372;;;;;;;;;Sem filtro;;;
373;;;;;;;;;Sem filtro;;;
374;;;;;;;;;Sem filtro;;;
375;;;;;;;;;Sem filtro;;;
376;;;;;;;;;Sem filtro;;;
377;;;;;;;;;Sem filtro;;;
378;;;;;;;;;Sem filtro;;;
379;;;;;;;;;Sem filtro;;;
380;;;;;;;;;Sem filtro;;;
381;;;;;;;;;Sem filtro;;;
382;;;;;;;;;Sem filtro;;;
383;;;;;;;;;Sem filtro;;;
384;;;;;;;;;Sem filtro;;;
385;Poço Escavado-Cacimba;4.00;;;;;;;Sem filtro;;;
386;Poço Escavado-Cacimba;4.00;;;;;;;Sem filtro;;;
