USOS;H0320;H0321;H0322;H0323
1337;FALSE;;;2500.00
1338;FALSE;;;1500.00
1339;FALSE;;;3500.00
1340;FALSE;;;3000.00
1341;FALSE;;;2000.00
1342;FALSE;;;3500.00
1343;FALSE;;;1700.00
1344;TRUE;;;1500.00
1345;TRUE;;;4000.00
1346;FALSE;;;5000.00
1347;FALSE;;;22000.00
1348;FALSE;;;4000.00
1349;;;;
1350;FALSE;;;5000.00
1351;;;;
1352;FALSE;;;8000.00
1353;;;;3000.00
1354;;;;
1355;;;;
1356;;;;
1357;;;;
1358;;;;
1359;;;;
1360;;;;
1361;;;;
1362;;;;
1363;;;;
1364;;;;
1365;;;;
1366;;;;
1367;;;;
1368;;;;
1369;;;;
1370;;;;
1371;;;6;1000.00
1372;;;;
1373;;;;
1374;;;;
1375;;;5;1000.00
1376;;;6;1300.00
1377;;;6;800.00
1378;;;6;1300.00
1379;;;6;1300.00
1380;;;6;800.00
1381;;;;
1382;;;;
1383;;;;
1384;;;;
1385;;;;
1386;;;7;1000.00
1387;;;;1000.00
1388;;;;1000.00
1389;;;;
1390;;;;
1391;;;;1000.00
1392;;;;
1393;;;;
1394;;;;
1395;;;;
1396;;;;1000.00
1397;;;;
1398;;;;1000.00
1399;;;;
1400;;;;
1401;;;;
1402;;;;
1403;;;;
1404;;;;
1405;;;;
1406;;;;1000.00
1407;;;7;1000.00
1408;;;;
1409;;;6;800.00
1410;;;;6900.00
1411;;;;10000.00
1412;;;;2131.00
1413;;;;2112.00
1414;;;;3600.00
1415;;;;2500.00
1416;;;;6900.00
1417;;;;633.00
1418;;;;25000.00
1419;;;;7500.00
1420;;;;10700.00
1421;;;;1650.00
1422;;;;1400.00
1423;;;;172000.00
1424;;;;3000.00
1425;;;;2350.00
1426;;;;17500.00
1427;;;;3500.00
1428;;;;75000.00
1429;;;;10000.00
1430;;;;20000.00
1431;;;;4500.00
1432;;;;3000.00
1433;;;;1000.00
1434;;;;2000.00
1435;;;;3000.00
1436;;;;3500.00
1437;;;;3000.00
1438;;;;3000.00
1439;;;;2300.00
1440;;;;2200.00
1441;;;;3500.00
1442;;;;3500.00
1443;;;;2000.00
1444;;;;4800.00
1445;;;;4000.00
1446;;;;2500.00
1447;;;;2500.00
1448;;;;2800.00
1449;;;;4500.00
1450;;;;2000.00
1451;;;;4500.00
