CAD;D0000;B0007;D0002;D0003;D0100;D0101
318;RIO JAGUARIBE;12;Não;;-6.275555556;-38.81555556
319;RIO JAGUARIBE;12;Não;;-6.268888889;-38.81825278
320;RIO SALGADO;12;Não;;-6.314944444;-38.80245
321;RIO JAGUARIBE;12;Não;;-6.276972222;-38.80519444
322;RIO SALGADO;12;Não;;-6.293722222;-38.79752778
323;AÇUDE LIMA CAMPOS;12;Não;;-6.394108333;-38.98003333
324;AÇUDE LIMA CAMPOS;12;Não;;-6.393191667;
325;RIO JAGUARIBE;12;Não;;-6.269783333;-38.81467222
326;RIO JAGUARIBE;12;Não;;-6.276994444;-38.80519444
327;RIO JAGUARIBE;12;Não;;-6.272355556;-38.81099167
328;RIO JAGUARIBE;12;Não;;-6.279777778;-38.80128056
329;RIO JAGUARIBE;12;Não;;-6.275175;-38.80975556
330;RIO JAGUARIBE;12;Não;;-6.273375;-38.80140556
331;RIO JAGUARIBE;12;Não;;-6.273222222;-38.81
332;RIO JAGUARIBE;12;Não;;-6.27975;-38.80128611
333;RIO JAGUARIBE;12;Não;;-6.273719444;-38.80813889
334;RIO JAGUARIBE;12;Não;;-6.275911111;-38.81259444
335;Rio Salgado ;12;Não;;-6.352375;-38.81948056
336;CACIMBÃO - RIO JAGUARIBE;12;Sim;101503/2022;-6.271805556;-38.81558333
337;Rio Salgado ;12;Não;;-6.353111111;-38.81144444
338;RIO JAGUARIBE;12;Não;;-6.270666667;-38.81247222
339;Rio Salgado ;12;Não;;-6.356055556;-38.81831667
340;Rio Salgado ;12;Não;;-6.071319444;-38.81694722
341;CACIMBÃO - RIO JAGUARIBE;12;Não;;-6.266788889;-38.82025
342;Cacimbão;12;Não;;;
343;RIO JAGUARIBE;12;Não;;-6.269222222;-38.81753889
344;Rio Salgado ;12;Não;;-6.354638889;-38.81693611
345;Rio Salgado ;12;Não;;-6.354166667;-38.81694444
346;Rio Salgado;12;Não;;-6.34975;-38.34975
347;RIO SALGADO;12;Não;;-6.297388889;-38.79886111
348;Rio Jaguaribe ;12;Não;;-6.275166667;-38.80975
349;Rio Jaguaribe ;12;Não;;-6.269030556;-38.81413889
350;Rio Salgado ;12;Não;;-6.354694444;-38.81691667
351;Rio Jaguaribe;12;Não;;-6.270666667;-38.81247222
352;Poço profundo ;12;Não;;-6.383833333;-38.95897222
353;Rio Jaguaribe;12;Não;;-6.273236111;-38.80834444
354;Rio Jaguaribe ;12;Não;;-6.2725;-38.81055556
355;RIO SALGADO;12;Não;;-6.354722222;-38.81698056
356;RIO JAGUARIBE;12;Não;;-6.278361111;-38.80255556
357;RIO JAGUARIBE;12;Não;;-6.279833333;-38.79077778
358;RIO JAGUARIBE;12;Não;;-6.277413889;-38.80078611
359;RIO JAGUARIBE;12;Não;;-6.277413889;-38.80477778
360;RIO JAGUARIBE;12;Não;;-6.280333333;-38.79097222
361;RIO SALGADO;12;Não;;-6.349333333;-38.80988889
362;RIO SALGADO;12;Não;;-6.349333333;-38.80997222
363;RIO JAGUARIBE;12;Não;;-6.27375;-38.80819444
364;RIO SALGADO;12;Não;;-6.354666667;-38.81700833
365;Rio Jaguaribe ;12;Não;;-6.278694444;-38.79080556
366;RIO SALGADO;12;Não;;-6.354444444;-38.81694444
367;Rio Jaguaribe ;12;Não;;-6.27925;-38.79927778
368;RIO JAGUARIBE;12;Não;;-6.293055556;-38.79728333
369;RIO JAGURIBE;12;Não;;-6.279833333;-38.79077778
370;Rio Jaguaribe ;12;Não;;-6.280638889;-38.79547222
371;Rio Jaguaribe ;12;Não;;-6.279222222;-38.79152778
372;RIO SALGADO;12;Não;;-6.351888889;-38.81700833
373;RIO SALGADO;12;Não;;-6.358333333;-38.81904444
374;Rio Jaguaribe ;12;Não;;-6.273388889;-38.80994444
375;Rio Jaguaribe ;12;Não;;-6.279722222;-38.79052778
376;CACIMBÃO -  RIO JAGUARIBE;12;Não;;-6.271352778;-38.81602778
377;Rio Jaguaribe;12;Não;;-6.280833333;-38.79444444
378;Rio Jaguaribe ;12;Não;;-6.278416667;-38.80256389
379;Rio Jaguaribe ;12;Não;;-6.281;-38.79463889
380;RIO SALGADO;12;Não;;-6.358416667;-38.81923611
381;Rio Jaguaribe ;12;Não;;-6.278333333;-38.80255556
382;Rio Jaguaribe ;12;Não;;-6.281027778;-38.79463889
383;Rio Jaguaribe ;12;Não;;-6.280638889;-38.79547222
384;Rio Jaguaribe ;12;Não;;;
385;POÇO;12;Não;;-6.4192;-38.9194
386;POÇO;12;Não;;-6.4169;-38.9169
387;POÇO;12;Não;;-6.4182;-39.9185
388;POÇO;12;Não;;-6.4168;-39.9213
389;POÇO;12;Não;;-6.4145;-38.9137
390;POÇO;12;Não;;-6.4169;-39.9169
391;POÇO;12;Não;;-6.4283;-38.9316
392;DIRETO DO CANAL DO PERIMETRO IRRIGADO;12;Não;;-6.4379;-39.9384
393;POÇO;12;Não;;-6.4316;-39.9348
394;RIACHO COLETOR;12;Não;;-6.4249;-38.9283
395;RIACHO SÃO JOÃO NO PERIMETRO IRRIGADO DO ICO;12;Não;;-6.4093;-38.9114
396;POÇO;12;Não;;-6.4255;-38.9288
397;POÇO;12;Não;;-6.4195;-38.9207
398;RIACHO SÃO JOÃO NO PERIMETRO IRRIGADO ICO;12;Não;;-6.4089;-38.9116
399;POÇO;12;Não;;-6.4211;-38.9276
400;RIACHO SÃO JOÃO DO PERIMETRO IRRIGADO DO ICO;12;Não;;-6.4062;-38.9146
401;POÇO;12;Não;;-6.4112;-38.9026
402;POÇO;12;Não;;-6.4106;-38.891
403;RIACHO SÃO JOÃO;12;Não;;-6.4156;-38.9228
404;POÇO;12;Não;;-6.416;-38.8822
405;CANAL;12;Não;;-6.4345;-38.5101
406;CANAL DO PERIMETRO IRRIGADO;12;Não;;-6.4352;-39.9137
407;POÇO;12;Não;;-6.4164;-38.8817
408;POÇO;12;Não;;-6.4288;-38.9255
409;POÇO;12;Não;;-6.4204;-38.9011
410;CANAL DO PERIMETRO IRRIGADO;12;Não;;-6.4356;-38.9365
411;POÇO;12;Não;;-6.4213;-38.9273
412;CANAL;12;Não;;-6.438;-38.9224
413;CANAL;12;Não;;-6.4211;-38.9055
414;CANAL;12;Não;;-6.4302;-38.9217
415;CANAL ;12;Não;;-6.4365;-38.9331
416;CANAL;12;Não;;-6.4178;-39.8988
417;CANAL;12;Não;;-6.4255;-38.9168
418;CANAL;12;Não;;-6.4191;-39.9085
419;CANAL;12;Não;;-6.4234;-39.9142
420;CANAL;12;Não;;-6.419;-38.9086
421;CANAL;12;Não;;-6.4172;-38.8988
422;CANAL;12;Não;;-6.4242;-38.9028
423;CANAL;12;Não;;-6.4233;-38.9094
424;CANAL;12;Não;;-6.4232;-39.9024
425;CANAL;12;Não;;-6.4257;-38.9058
426;POÇO;12;Não;;-6.4184;-38.9152
427;CANAL;12;Não;;-6.4221;-38.9043
428;POÇO;12;Não;;-6.4172;-38.9315
429;CANAL;12;Não;;-6.4206;-38.9304
430;CANAL;12;Não;;-6.4234;-38.9292
431;CANAL;12;Não;;-6.4204;-38.9067
432;CANAL;12;Não;;-6.4122;-38.8961
433;CANAL;12;Não;;-6.431;-38.908
434;CANAL;12;Não;;-6.4258;-38.911
435;CANAL;12;Não;;-6.4339;-38.9203
436;CANAL;12;Não;;-6.4125;-38.8982
437;CANAL;12;Não;;-6.4245;-38.9369
438;CANAL;12;Não;;-6.4092;-38.8932
